naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;barkod;dostupnost
Futrola za pištolj od čvrste kože;FUT-PIS;Covart;kom;195.00;195.00;NE;;195.00;COV0000001;DOSTUPNO
Minimalistički novčanik;NOV-TLV-TSM;Covart;kom;60.00;60.00;DA;Sniženje;70.00;COV0000020;DOSTUPNO
Minimalistički novčanik;NOV-TLV-SME;Covart;kom;60.00;60.00;DA;Sniženje;70.00;COV0000019;NEDOSTUPNO
Minimalistički novčanik;NOV-TLV-PLA;Covart;kom;60.00;60.00;DA;Sniženje;70.00;COV0000018;DOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-BIJ-XL-105;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000091;DOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-BIJ-M-95;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000089;DOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-BIJ-XXL-110;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000095;NEDOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-BIJ-XL-115;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000093;NEDOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-SME-XL-105;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000090;DOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-SME-M-95;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000088;NEDOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-SME-XXL-110;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000094;DOSTUPNO
Ženski remen s kopčom zmije;REM-XYR-40-OGR-SME-XL-115;Covart;kom;69.00;69.00;DA;Sniženje;80.00;COV0000092;DOSTUPNO
Ručno šivani kožni remen Nature 40;REM-NTR-40-XL;Covart;kom;83.00;83.00;NE;;83.00;COV0000067;DOSTUPNO
Ručno šivani kožni remen Nature 40 B;REM-NTR-40-B-XL;Covart;kom;87.00;87.00;NE;;87.00;COV0000068;DOSTUPNO
Replika povijesnih kožnih uprtača;UPR-POV-PRM;Covart;kom;281.00;281.00;NE;;281.00;COV0000028;NEDOSTUPNO
Ručno šivani vintage kožni tregeri;TRG;Covart;kom;263.00;263.00;NE;;263.00;COV0000083;DOSTUPNO
Replika povijesnog opasača - PREMIUM;OPA-POV-PRM-XXL;Covart;kom;119.00;119.00;NE;;119.00;COV0000030;DOSTUPNO
Replika povijesnog opasača - PREMIUM;OPA-POV-PRM-XXL;Covart;kom;99.00;99.00;NE;;99.00;COV0000029;DOSTUPNO
Set povijesnih vojnih uprtača s opasačem;KOU-POV-PRM;Covart;kom;390.00;390.00;NE;;390.00;COV0000086;DOSTUPNO
Gajka (držak) za opasač s D-prstenom - PREMIUM;GAJ-POV-PRM-NAT-DPR-POL;Covart;kom;15.00;15.00;NE;;15.00;COV0000005;DOSTUPNO
